downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,accuracy,latency
16000,0.008,-120,0.008,0.98111,8.8222
16000,0.016,-120,0.016,0.98556,8.7575
16000,0.016,-120,0.032,0.98444,9.2272
16000,0.032,-120,0.032,0.98333,8.7929
16000,0.03,-120,0.1,0.98333,11.604
16000,0.03,-120,0.11,0.98333,11.51
16000,0.04,-120,0.1,0.98333,12.314
16000,0.04,-120,0.11,0.98333,12.511
16000,0.05,-120,0.1,0.98444,12.631
16000,0.05,-120,0.11,0.98444,12.368
16000,0.05,-120,0.12,0.98444,12.649
16000,0.05,-120,0.13,0.98444,12.854
16000,0.05,-120,0.14,0.98444,12.528
16000,0.032,-120,0.1,0.98222,9.3713
16000,0.032,-120,0.11,0.98222,9.5693
16000,0.032,-120,0.12,0.98222,9.3768
