downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.008,-120,0.008,0.98111,8.8222
16000,0.008,-120,0.016,0.97778,8.7883
16000,0.008,-120,0.032,0.97778,8.7633
16000,0.008,-110,0.008,0.97,8.7479
16000,0.008,-110,0.016,0.96889,8.7463
16000,0.008,-110,0.032,0.96667,8.7448
16000,0.008,-100,0.008,0.95222,8.7775
16000,0.008,-100,0.016,0.94444,8.8115
16000,0.008,-100,0.032,0.93778,8.7908
16000,0.008,-90,0.008,0.91556,9.0843
16000,0.008,-90,0.016,0.90444,9.7583
16000,0.008,-90,0.032,0.89111,9.1796
16000,0.008,-80,0.008,0.86111,9.2354
16000,0.008,-80,0.016,0.83889,8.9602
16000,0.008,-80,0.032,0.81333,8.9135
16000,0.016,-120,0.008,0.88889,8.8946
16000,0.016,-120,0.016,0.98556,8.7575
16000,0.016,-120,0.032,0.98444,9.2272
16000,0.016,-110,0.008,0.88889,9.069
16000,0.016,-110,0.016,0.97778,8.8897
16000,0.016,-110,0.032,0.97444,8.8866
16000,0.016,-100,0.008,0.88889,8.824
16000,0.016,-100,0.016,0.95889,8.7938
16000,0.016,-100,0.032,0.95333,8.8003
16000,0.016,-90,0.008,0.88889,8.8547
16000,0.016,-90,0.016,0.92667,8.7812
16000,0.016,-90,0.032,0.91778,8.9948
16000,0.016,-80,0.008,0.88889,8.9349
16000,0.016,-80,0.016,0.87889,8.8835
16000,0.016,-80,0.032,0.86222,8.7399
16000,0.032,-120,0.008,0.88889,8.8235
16000,0.032,-120,0.016,0.88889,8.797
16000,0.032,-120,0.032,0.98333,8.7929
16000,0.032,-110,0.008,0.88889,8.8235
16000,0.032,-110,0.016,0.88889,9.0281
16000,0.032,-110,0.032,0.97778,8.871
16000,0.032,-100,0.008,0.88889,8.8447
16000,0.032,-100,0.016,0.88889,8.9006
16000,0.032,-100,0.032,0.96556,8.9354
16000,0.032,-90,0.008,0.88889,8.8629
16000,0.032,-90,0.016,0.88889,8.7991
16000,0.032,-90,0.032,0.93778,8.8613
16000,0.032,-80,0.008,0.88889,8.827
16000,0.032,-80,0.016,0.88889,8.819
16000,0.032,-80,0.032,0.89556,8.8614
