,label,frame_0,frame_1,frame_2,frame_3,frame_4,frame_5,frame_6,frame_7,frame_8,frame_9,frame_10,frame_11,frame_12,frame_13,frame_14,frame_15,frame_16,frame_17,frame_18,frame_19,frame_20,frame_21,frame_22,frame_23,frame_24
0,right,-124.04421997070312,-122.66749572753906,-122.3983154296875,-123.01380920410156,-123.49173736572266,-124.72341918945312,-123.05977630615234,-122.57489013671875,-123.70487976074219,-124.52627563476562,-123.32654571533203,-122.34691619873047,-118.11064910888672,-105.16414642333984,-104.57427978515625,-94.94196319580078,-87.1791000366211,-91.16336059570312,-102.79385375976562,-116.25384521484375,-122.448486328125,-123.47053527832031,-80.17489624023438,-97.82203674316406,-114.81010437011719
1,right,-121.36119079589844,-121.98905944824219,-120.35870361328125,-120.88536834716797,-116.17774963378906,-114.10293579101562,-118.87619018554688,-102.33992767333984,-79.0696792602539,-47.47949981689453,-30.32217788696289,-28.704023361206055,-21.706600189208984,-21.622310638427734,-18.348594665527344,-32.52043914794922,-57.567359924316406,-95.636962890625,-119.5350341796875,-96.39936065673828,-69.84720611572266,-82.21819305419922,-108.37696838378906,-108.85830688476562,-114.44441223144531
2,down,-97.8060531616211,-102.01897430419922,-97.89952850341797,-91.69315338134766,-88.53132629394531,-84.92779541015625,-86.02059173583984,-27.64817237854004,-28.04948616027832,-35.50735092163086,-51.89324188232422,-51.09754180908203,-47.98954391479492,-62.94092559814453,-65.52099609375,-61.77840805053711,-68.58967590332031,-66.61931610107422,-69.3335189819336,-67.48928833007812,-67.85858917236328,-73.55581665039062,-73.95455169677734,-81.74169921875,-90.1694107055664
3,yes,-150.1548614501953,-147.23733520507812,-146.79322814941406,-144.95928955078125,-145.52871704101562,-149.53082275390625,-153.81951904296875,-153.0718536376953,-151.40243530273438,-151.19407653808594,-68.2495346069336,-38.827152252197266,-25.79195213317871,-30.860641479492188,-43.96017074584961,-49.930213928222656,-43.73347854614258,-31.465917587280273,-29.99014663696289,-34.85802459716797,-38.292789459228516,-44.828521728515625,-55.775390625,-84.77473449707031,-127.63487243652344
4,no,-173.71205139160156,-179.55870056152344,-170.54385375976562,-166.48814392089844,-181.2440948486328,-168.7200927734375,-170.5576934814453,-154.918701171875,-145.51141357421875,-100.76436614990234,-81.08973693847656,-71.49815368652344,-68.99296569824219,-74.71894073486328,-67.56639099121094,-74.84530639648438,-101.62727355957031,-131.8045196533203,-160.56610107421875,-276.31024169921875,-276.31024169921875,-276.31024169921875,-276.31024169921875,-276.31024169921875,-276.31024169921875
5,right,-92.79068756103516,-66.52613067626953,-37.97288131713867,-27.19135093688965,-17.984119415283203,-3.3326568603515625,-3.236581325531006,-10.97270679473877,-24.658750534057617,-70.7200927734375,-52.8043327331543,-28.06940269470215,-2.7399773597717285,-70.29936218261719,-88.38323211669922,-85.40808868408203,-88.60289764404297,-80.76390838623047,-80.74037170410156,-88.52464294433594,-90.78038024902344,-89.70338439941406,-94.2975845336914,-91.44661712646484,-90.90145874023438
6,go,-141.45909118652344,-141.7826385498047,-140.50706481933594,-139.570556640625,-142.0463104248047,-141.5330810546875,-139.87130737304688,-128.82730102539062,-61.69754409790039,-40.00981140136719,-42.16525650024414,-46.05878829956055,-52.07167434692383,-46.1321907043457,-61.76045227050781,-65.40674591064453,-66.46390533447266,-69.41922760009766,-71.76441955566406,-82.12610626220703,-91.781982421875,-104.01325225830078,-114.0438461303711,-119.03901672363281,-124.1173095703125
7,no,-136.96078491210938,-141.9975128173828,-142.39840698242188,-145.22021484375,-142.3021240234375,-143.2473907470703,-144.75286865234375,-146.36248779296875,-147.16896057128906,-144.03103637695312,-117.0934829711914,-91.7630844116211,-49.96677017211914,-52.809932708740234,-59.37931823730469,-62.335262298583984,-62.08062744140625,-63.02403259277344,-75.58967590332031,-90.01549530029297,-90.2201919555664,-100.04185485839844,-104.2303695678711,-104.08782196044922,-107.08792114257812
8,stop,-171.923095703125,-147.45008850097656,-138.6947784423828,-148.22315979003906,-151.71676635742188,-153.18426513671875,-157.2728271484375,-166.31222534179688,-260.5679016113281,-181.70689392089844,-131.59597778320312,-73.75486755371094,-60.227298736572266,-67.0864028930664,-121.14433288574219,-76.77294158935547,-81.10088348388672,-86.1201171875,-117.9179458618164,-136.23135375976562,-146.7156219482422,-104.76828002929688,-128.97140502929688,-144.39064025878906,-155.53475952148438
9,no,-123.37576293945312,-133.53765869140625,-124.0540542602539,-127.78105163574219,-135.29727172851562,-133.50518798828125,-134.8247528076172,-136.3949737548828,-136.09820556640625,-135.94581604003906,-135.01239013671875,-134.6183624267578,-136.56927490234375,-122.30986022949219,-80.54965209960938,-68.9191665649414,-75.98865509033203,-83.48110961914062,-98.28914642333984,-115.82178497314453,-121.44132232666016,-128.86163330078125,-130.5420379638672,-131.759033203125,-131.8123016357422
