downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.0001,-120,0.02,0.88,9.1832
16000,0.0001,-120,0.04,0.87889,8.8938
16000,0.0001,-120,0.06,0.87889,8.972
16000,0.0001,-120,0.08,0.87889,9.0808
16000,0.0001,-120,0.1,0.87778,9.2295
16000,0.0001,-120,0.12,0.87667,9.2289
16000,0.0001,-120,0.14,0.87667,9.0348
16000,0.0001,-120,0.16,0.87556,8.9171
16000,0.0001,-120,0.18,0.87111,8.9435
16000,0.0001,-120,0.2,0.86778,9.6833
16000,0.0001,-110,0.02,0.88,9.6158
16000,0.0001,-110,0.04,0.87889,9.1591
16000,0.0001,-110,0.06,0.87667,9.011
16000,0.0001,-110,0.08,0.87444,9.1398
16000,0.0001,-110,0.1,0.87333,9.2902
16000,0.0001,-110,0.12,0.87111,10.203
16000,0.0001,-110,0.14,0.87,10.201
16000,0.0001,-110,0.16,0.86444,9.1461
16000,0.0001,-110,0.18,0.85556,8.9743
16000,0.0001,-110,0.2,0.85333,9.0666
16000,0.0001,-100,0.02,0.87778,8.8998
16000,0.0001,-100,0.04,0.87333,9.0697
16000,0.0001,-100,0.06,0.87222,8.7365
16000,0.0001,-100,0.08,0.86889,8.8347
16000,0.0001,-100,0.1,0.86667,8.8925
16000,0.0001,-100,0.12,0.86333,8.7714
16000,0.0001,-100,0.14,0.85667,8.673
16000,0.0001,-100,0.16,0.84889,8.7803
16000,0.0001,-100,0.18,0.84222,8.8325
16000,0.0001,-100,0.2,0.83,8.8585
16000,0.0001,-90,0.02,0.98111,8.9593
16000,0.0001,-90,0.04,0.98,8.9443
16000,0.0001,-90,0.06,0.97667,9.1683
16000,0.0001,-90,0.08,0.96889,9.2834
16000,0.0001,-90,0.1,0.95889,9.1629
16000,0.0001,-90,0.12,0.94889,9.1701
16000,0.0001,-90,0.14,0.93444,8.9713
16000,0.0001,-90,0.16,0.91778,9.096
16000,0.0001,-90,0.18,0.90222,8.9594
16000,0.0001,-90,0.2,0.88111,8.7339
16000,0.0001,-80,0.02,0.97222,8.7625
16000,0.0001,-80,0.04,0.96,8.7691
16000,0.0001,-80,0.06,0.94889,8.8243
16000,0.0001,-80,0.08,0.93556,8.7256
16000,0.0001,-80,0.1,0.91667,8.8676
16000,0.0001,-80,0.12,0.89444,8.9271
16000,0.0001,-80,0.14,0.88111,8.7457
16000,0.0001,-80,0.16,0.85333,8.9876
16000,0.0001,-80,0.18,0.82333,9.0569
16000,0.0001,-80,0.2,0.79222,8.8949
16000,0.0002,-120,0.02,0.87889,9.638
16000,0.0002,-120,0.04,0.87889,9.666
16000,0.0002,-120,0.06,0.87889,9.6436
16000,0.0002,-120,0.08,0.87667,9.6927
16000,0.0002,-120,0.1,0.87556,9.5588
16000,0.0002,-120,0.12,0.87,9.4175
16000,0.0002,-120,0.14,0.86333,9.4541
