downsampling_rate,frame_length_in_s,dbFSthres,duration_thres,Accuracy,Avg Latency
16000,0.0001,-120,0.0001,0.88111,9.8455
16000,0.0001,-120,0.0002,0.88111,9.9154
16000,0.0001,-120,0.0003,0.88111,9.9409
16000,0.0001,-120,0.0004,0.88111,10.002
16000,0.0001,-120,0.0005,0.88111,9.8104
16000,0.0001,-120,0.0006,0.88111,9.4985
16000,0.0001,-120,0.0007,0.88111,9.5023
16000,0.0001,-120,0.0008,0.88111,9.5091
16000,0.0001,-120,0.0009,0.88,9.4755
16000,0.0001,-120,0.001,0.88,9.4292
16000,0.0001,-110,0.0001,0.88,9.4834
16000,0.0001,-110,0.0002,0.88,9.4594
16000,0.0001,-110,0.0003,0.88,9.5979
16000,0.0001,-110,0.0004,0.88,9.4734
16000,0.0001,-110,0.0005,0.88,9.6427
16000,0.0001,-110,0.0006,0.88,9.5204
16000,0.0001,-110,0.0007,0.88,9.4625
16000,0.0001,-110,0.0008,0.88,9.5443
16000,0.0001,-110,0.0009,0.88,9.5071
16000,0.0001,-110,0.001,0.88,9.4729
16000,0.0001,-100,0.0001,0.88,9.4256
16000,0.0001,-100,0.0002,0.88,9.5137
16000,0.0001,-100,0.0003,0.88,9.6756
16000,0.0001,-100,0.0004,0.88,9.5161
16000,0.0001,-100,0.0005,0.88,9.4213
16000,0.0001,-100,0.0006,0.88,9.5681
16000,0.0001,-100,0.0007,0.88,9.4363
16000,0.0001,-100,0.0008,0.88,9.4155
16000,0.0001,-100,0.0009,0.88,9.4575
16000,0.0001,-100,0.001,0.88,9.496
16000,0.0001,-90,0.0001,0.98667,9.5703
16000,0.0001,-90,0.0002,0.98778,9.5417
16000,0.0001,-90,0.0003,0.98889,9.4664
16000,0.0001,-90,0.0004,0.99,9.527
16000,0.0001,-90,0.0005,0.99,9.6252
16000,0.0001,-90,0.0006,0.99,9.4705
16000,0.0001,-90,0.0007,0.98889,9.593
16000,0.0001,-90,0.0008,0.98889,9.6209
16000,0.0001,-90,0.0009,0.98889,9.5616
16000,0.0001,-90,0.001,0.98889,9.526
16000,0.0001,-80,0.0001,0.98556,9.6415
16000,0.0001,-80,0.0002,0.98667,9.7307
16000,0.0001,-80,0.0003,0.98667,9.6913
16000,0.0001,-80,0.0004,0.98667,9.5875
16000,0.0001,-80,0.0005,0.98667,9.5863
16000,0.0001,-80,0.0006,0.98556,9.4215
16000,0.0001,-80,0.0007,0.98556,9.7272
16000,0.0001,-80,0.0008,0.98556,9.8956
16000,0.0001,-80,0.0009,0.98556,11.18
16000,0.0001,-80,0.001,0.98556,9.8528
16000,0.0002,-120,0.0001,0.88889,10.618
16000,0.0002,-120,0.0002,0.88111,10.648
16000,0.0002,-120,0.0003,0.88111,10.616
16000,0.0002,-120,0.0004,0.88111,10.645
16000,0.0002,-120,0.0005,0.88111,10.675
16000,0.0002,-120,0.0006,0.88111,10.635
16000,0.0002,-120,0.0007,0.88111,10.712
16000,0.0002,-120,0.0008,0.88,10.632
16000,0.0002,-120,0.0009,0.88,10.611
16000,0.0002,-120,0.001,0.88,10.502
16000,0.0002,-110,0.0001,0.88889,10.45
16000,0.0002,-110,0.0002,0.88,10.31
16000,0.0002,-110,0.0003,0.88,10.283
16000,0.0002,-110,0.0004,0.88,10.238
16000,0.0002,-110,0.0005,0.88,10.259
16000,0.0002,-110,0.0006,0.88,10.257
16000,0.0002,-110,0.0007,0.88,10.182
16000,0.0002,-110,0.0008,0.88,10.252
16000,0.0002,-110,0.0009,0.88,10.301
16000,0.0002,-110,0.001,0.88,10.3
16000,0.0002,-100,0.0001,0.88889,10.235
16000,0.0002,-100,0.0002,0.88,10.141
16000,0.0002,-100,0.0003,0.88,10.339
16000,0.0002,-100,0.0004,0.88,10.204
16000,0.0002,-100,0.0005,0.88,10.263
16000,0.0002,-100,0.0006,0.88,10.299
16000,0.0002,-100,0.0007,0.88,10.293
16000,0.0002,-100,0.0008,0.88,10.283
16000,0.0002,-100,0.0009,0.88,10.209
16000,0.0002,-100,0.001,0.88,10.198
16000,0.0002,-90,0.0001,0.88889,10.217
16000,0.0002,-90,0.0002,0.98778,10.165
16000,0.0002,-90,0.0003,0.98778,10.326
16000,0.0002,-90,0.0004,0.98778,10.208
16000,0.0002,-90,0.0005,0.98778,10.313
16000,0.0002,-90,0.0006,0.98889,10.35
16000,0.0002,-90,0.0007,0.98889,10.34
16000,0.0002,-90,0.0008,0.98778,10.259
16000,0.0002,-90,0.0009,0.98778,10.265
16000,0.0002,-90,0.001,0.98778,10.349
16000,0.0002,-80,0.0001,0.88889,10.315
16000,0.0002,-80,0.0002,0.98667,10.474
16000,0.0002,-80,0.0003,0.98667,10.516
16000,0.0002,-80,0.0004,0.98667,10.6
16000,0.0002,-80,0.0005,0.98667,10.44
16000,0.0002,-80,0.0006,0.98556,10.539
16000,0.0002,-80,0.0007,0.98556,10.481
16000,0.0002,-80,0.0008,0.98556,10.787
16000,0.0002,-80,0.0009,0.98556,10.581
16000,0.0002,-80,0.001,0.98333,10.645
16000,0.0003,-120,0.0001,0.88889,10.126
16000,0.0003,-120,0.0002,0.88889,10.11
16000,0.0003,-120,0.0003,0.88,10.137
16000,0.0003,-120,0.0004,0.88,10.045
16000,0.0003,-120,0.0005,0.88,9.862
16000,0.0003,-120,0.0006,0.88,9.8576
16000,0.0003,-120,0.0007,0.88,9.8199
16000,0.0003,-120,0.0008,0.88,9.7721
16000,0.0003,-120,0.0009,0.88,9.8818
16000,0.0003,-120,0.001,0.88,10.205
16000,0.0003,-110,0.0001,0.88889,10.164
16000,0.0003,-110,0.0002,0.88889,10.182
16000,0.0003,-110,0.0003,0.89444,10.239
16000,0.0003,-110,0.0004,0.89444,10.445
16000,0.0003,-110,0.0005,0.89444,10.388
16000,0.0003,-110,0.0006,0.92778,10.353
